Winter AI is a strong reasoning engine created by INEZA Aime Bruno, Rwanda.
Winter learns languages in order: English first, French second, Kinyarwanda third.
Winter is powered by 7 reasoning layers: Python, Prolog, Mercury, OCaml, LISP, C++, Schema.

# SCIENCE - Physics
EN: Physics is the natural science that studies matter, energy, space, and time. | FR: La physique est la science naturelle qui étudie la matière, l'énergie, l'espace et le temps. | RW: Fiziki ni siyanse kamere isuzuma ikintu, ingufu, ahantu n'igihe.
EN: Leonardo da Vinci painted the Mona Lisa and The Last Supper. He was also a scientist, engineer, and inventor. | FR: Léonard de Vinci a peint la Joconde et La Cène. Il était aussi scientifique, ingénieur et inventeur. | RW: Leonardo da Vinci yashe Mona Lisa na Last Supper. Yari kandi inzobere mu siyanse, injiniyeri, no gushoza.
EN: Literature encompasses written works of artistic merit including fiction, poetry, drama, and non-fiction. | FR: La littérature englobe les œuvres écrites de mérite artistique, notamment la fiction, la poésie, le théâtre et la non-fiction. | RW: Ibyanditse bigizwe n'ibikorwa by'ubuhanzi harimo ibitekererezo, imivugo, ingamwidegembya, n'ibyanditswe by'ukuri.
EN: Shakespeare wrote 37 plays and 154 sonnets. His most famous works include Hamlet, Romeo and Juliet, and Macbeth. | FR: Shakespeare a écrit 37 pièces de théâtre et 154 sonnets. Ses œuvres les plus célèbres comprennent Hamlet, Roméo et Juliette et Macbeth. | RW: Shakespeare yanditse ingamwidegembya 37 na sonnet 154. Ibikorwa bye bimenyerewe cyane ni Hamlet, Romeo na Juliet, na Macbeth.

# ENVIRONMENT AND CLIMATE
EN: Climate change refers to long-term shifts in global temperatures and weather patterns, accelerated by human activity since the Industrial Revolution. | FR: Le changement climatique désigne les changements à long terme des températures mondiales et des conditions météorologiques, accélérés par l'activité humaine depuis la révolution industrielle. | RW: Ihinduka ry'ikirere ryerekeza ku mpinduka z'igihe kirekire mu bushyuhe bw'isi no mu bihe by'ikirere, byihutijwe n'ibikorwa by'abantu.
EN: The greenhouse effect occurs when gases like CO₂, methane, and water vapor trap heat in Earth's atmosphere, warming the planet. | FR: L'effet de serre se produit lorsque des gaz comme le CO₂, le méthane et la vapeur d'eau retiennent la chaleur dans l'atmosphère terrestre. | RW: Ingaruka ya efee y'inzu ikorerwa iyo gaze nka CO₂, methane, n'amazi ashize mu kirere bifata ubushyuhe mu kirere cya isi.
EN: Renewable energy sources include solar, wind, hydro, geothermal, and biomass power. They produce little to no greenhouse gas emissions. | FR: Les sources d'énergie renouvelables comprennent l'énergie solaire, éolienne, hydraulique, géothermique et la biomasse. | RW: Inkomoko z'ingufu zisubirwamwo harimo ingufu z'izuba, umuyaga, amazi, ubushyuhe bw'isi, na biomasi. Zibyara gaze nke cyane.
EN: Deforestation destroys habitats, contributes to climate change, and threatens biodiversity. Over 15 billion trees are cut down each year. | FR: La déforestation détruit les habitats, contribue au changement climatique et menace la biodiversité. Plus de 15 milliards d'arbres sont abattus chaque année. | RW: Gukuraho amashyamba bihomvya inzu z'ibinyabuzima, birungika ihinduka ry'ikirere, kandi bitera akaga ku muryango w'ibinyabuzima. Ibiti 15 biliyoni birasibwa buri mwaka.

# MEDICINE AND HEALTH
EN: Medicine is the science and practice of diagnosing, treating, and preventing disease and injury. | FR: La médecine est la science et la pratique du diagnostic, du traitement et de la prévention des maladies et des blessures. | RW: Ubuvuzi ni siyanse no gukora ko gusuzuma, kuvura, no gukumira indwara n'ibikomere.
EN: Antibiotics are medicines that kill or inhibit bacterial infections. They do not work against viruses. | FR: Les antibiotiques sont des médicaments qui tuent ou inhibent les infections bactériennes. Ils ne fonctionnent pas contre les virus. | RW: Antibiyotike ni imiti yica cyangwa ihagarika ibyorezo bya bakiteriya. Ntikora ku ndwara z'ivirusi.
EN: The human immune system protects the body from pathogens through innate and adaptive responses involving white blood cells and antibodies. | FR: Le système immunitaire humain protège le corps contre les agents pathogènes grâce à des réponses innées et adaptatives impliquant les globules blancs et les anticorps. | RW: Sisitemu y'umubiri wo kurwanya indwara irinda umubiri ibinyabuzima bibi hakoreshejwe igisubizo cy'asili no guturikahabwa harimo selile zeru n'antikorpo.
EN: Mental health includes emotional, psychological, and social well-being. Common conditions include depression, anxiety, PTSD, and schizophrenia. | FR: La santé mentale comprend le bien-être émotionnel, psychologique et social. Les conditions courantes comprennent la dépression, l'anxiété, le PTSD et la schizophrénie. | RW: Ubuzima bwo mu mutwe bugizwe n'imibereho myiza y'imirerere, iy'ubutabazi, n'iy'imibano. Indwara zikunze gutaho ni depression, gutishyika, PTSD, na schizophrenie.
EN: A balanced diet includes carbohydrates, proteins, fats, vitamins, minerals, and water. Exercise and sleep are also essential for health. | FR: Une alimentation équilibrée comprend des glucides, des protéines, des lipides, des vitamines, des minéraux et de l'eau. L'exercice et le sommeil sont également essentiels. | RW: Indyo kuzuye ihuza imirorombyo, poroteyine, inshinge, vitamini, minerale, n'amazi. Imyitozo n'amasegonda yo kuryama na byo ni ngombwa.
